ID;post_author;post_date;post_date_gmt;post_content;post_title;post_excerpt;post_status;comment_status;ping_status;post_password;post_name;to_ping;pinged;post_modified;post_modified_gmt;post_content_filtered;post_parent;guid;menu_order;post_type;post_mime_type;comment_count
1;;;;;Beranda;;publish;closed;closed;;beranda;;;;;;0;;0;page;;0
2;;;;;Tentang FHUI;;publish;closed;closed;;tentang-fhui;;;;;;0;;0;page;;0
3;;;;;Sejarah dan Perkembangan;;publish;closed;closed;;sejarah-dan-perkembangan;;;;;;2;;0;page;;0
4;;;;;Pimpinan Fakultas;;publish;closed;closed;;pimpinan-fakultas;;;;;;2;;0;page;;0
5;;;;;Dewan Guru Besar;;publish;closed;closed;;dewan-guru-besar;;;;;;2;;0;page;;0
6;;;;;Senat Akademik;;publish;closed;closed;;senat-akademik;;;;;;2;;0;page;;0
7;;;;;Unit-unit Kerja;;publish;closed;closed;;unit-unit-kerja;;;;;;2;;0;page;;0
8;;;;;Bidang-bidang Studi;;publish;closed;closed;;bidang-bidang-studi;;;;;;2;;0;page;;0
9;;;;;Pengajar;;publish;closed;closed;;pengajar;;;;;;2;;0;page;;0
10;;;;;Fasilitas dan Infrastrtuktur;;publish;closed;closed;;fasilitas-dan-infrastrtuktur;;;;;;2;;0;page;;0
11;;;;;Pendidikan;;publish;closed;closed;;pendidikan;;;;;;0;;0;page;;0
12;;;;;Program Sarjana;;publish;closed;closed;;program-sarjana;;;;;;11;;0;page;;0
13;;;;;Program Pascasarjana;;publish;closed;closed;;program-pascasarjana;;;;;;11;;0;page;;0
14;;;;;Kelas Khusus Internasional;;publish;closed;closed;;kelas-khusus-internasional;;;;;;11;;0;page;;0
15;;;;;Kalender Akademik;;publish;closed;closed;;kalender-akademik;;;;;;11;;0;page;;0
16;;;;;Aturan dan Pedoman Akademik;;publish;closed;closed;;aturan-dan-pedoman-akademik;;;;;;11;;0;page;;0
17;;;;;Katalog Mata Kuliah;;publish;closed;closed;;katalog-mata-kuliah;;;;;;11;;0;page;;0
18;;;;;Sumber Daya Pembelajaran;;publish;closed;closed;;sumber-daya-pembelajaran;;;;;;11;;0;page;;0
19;;;;;Klinik dan Laboratorium Hukum;;publish;closed;closed;;klinik-dan-laboratorium-hukum;;;;;;11;;0;page;;0
20;;;;;Pendidikan Lanjutan Ilmu Hukum;;publish;closed;closed;;pendidikan-lanjutan-ilmu-hukum;;;;;;11;;0;page;;0
21;;;;;Riset;;publish;closed;closed;;riset;;;;;;0;;0;page;;0
22;;;;;Riset;;publish;closed;closed;;riset;;;;;;21;;0;page;;0
23;;;;;Pengabdian Masyarakat;;publish;closed;closed;;pengabdian-masyarakat;;;;;;21;;0;page;;0
24;;;;;Sumber Daya Riset;;publish;closed;closed;;sumber-daya-riset;;;;;;21;;0;page;;0
25;;;;;Publikasi;;publish;closed;closed;;publikasi;;;;;;21;;0;page;;0
26;;;;;Djokosoetono Research Center;;publish;closed;closed;;djokosoetono-research-center;;;;;;21;;0;page;;0
27;;;;;Badan Penerbit;;publish;closed;closed;;badan-penerbit;;;;;;21;;0;page;;0
28;;;;;Pusat Dokumentasi dan Referensi Hukum;;publish;closed;closed;;pusat-dokumentasi-dan-referensi-hukum;;;;;;21;;0;page;;0
29;;;;;Lembaga Konsultasi, Bantuan Hukum dan Pusat Penyelesaian Sengketa;;publish;closed;closed;;lembaga-konsultasi;;;;;;21;;0;page;;0
30;;;;;Kerja Sama dan Ventura;;publish;closed;closed;;kerja-sama-dan-ventura;;;;;;0;;0;page;;0
31;;;;;Kerja Sama Domestik;;publish;closed;closed;;kerja-sama-domestik;;;;;;30;;0;page;;0
32;;;;;Kerja Sama Internasional;;publish;closed;closed;;kerja-sama-internasional;;;;;;30;;0;page;;0
33;;;;;Ventura;;publish;closed;closed;;ventura;;;;;;30;;0;page;;0
34;;;;;Dasar-dasar Ilmu Hukum;;publish;closed;closed;;dasar-dasar-ilmu-hukum;;;;;;8;;0;page;;0
35;;;;;Hukum Pidana;;publish;closed;closed;;hukum-pidana;;;;;;8;;0;page;;0
36;;;;;Hukum Acara;;publish;closed;closed;;hukum-acara;;;;;;8;;0;page;;0
37;;;;;Hukum Keperdataan;;publish;closed;closed;;hukum-keperdataan;;;;;;8;;0;page;;0
38;;;;;Hukum Tata Negara;;publish;closed;closed;;hukum-tata-negara;;;;;;8;;0;page;;0
39;;;;;Hukum Administrasi Negara;;publish;closed;closed;;hukum-administrasi-negara;;;;;;8;;0;page;;0
40;;;;;Hukum Internasional;;publish;closed;closed;;hukum-internasional;;;;;;8;;0;page;;0
41;;;;;Hukum, Masyarakat dan Pembangunan;;publish;closed;closed;;hukum;;;;;;8;;0;page;;0
42;;;;;Hukum Adat dan Hukum Islam;;publish;closed;closed;;hukum-adat-dan-hukum-islam;;;;;;8;;0;page;;0
43;;;;;Hukum Ekonomi dan Teknologi;;publish;closed;closed;;hukum-ekonomi-dan-teknologi;;;;;;8;;0;page;;0